episodes_cumulative,winrate,agent#
5000,0.15000000000000002,1
10000,0.4,1
15000,0.25,1
20000,0.4,1
25000,0.4,1
30000,0.25,1
35000,0.35,1
40000,0.45,1
45000,0.4,1
50000,0.6,1
55000,0.3,1
60000,0.35,1
65000,0.4,1
70000,0.45,1
75000,0.5,1
80000,0.3,1
85000,0.4,1
90000,0.3,1
95000,0.35,1
100000,0.4,1
105000,0.4,1
110000,0.25,1
115000,0.5,1
120000,0.35,1
125000,0.45,1
130000,0.55,1
135000,0.5,1
140000,0.45,1
145000,0.5499999999999999,1
150000,0.4,1
155000,0.30000000000000004,1
160000,0.25,1
165000,0.35,1
170000,0.55,1
175000,0.35,1
180000,0.4,1
185000,0.35,1
190000,0.5,1
195000,0.45,1
200000,0.5499999999999999,1
205000,0.5,1
210000,0.35,1
215000,0.35,1
220000,0.3,1
225000,0.45000000000000007,1
230000,0.25,1
235000,0.25,1
240000,0.5,1
245000,0.45,1
250000,0.30000000000000004,1
255000,0.45,1
260000,0.3,1
265000,0.5,1
270000,0.35,1
275000,0.45,1
280000,0.45,1
285000,0.55,1
290000,0.5499999999999999,1
295000,0.3500000000000001,1
300000,0.4,1
305000,0.4,1
310000,0.30000000000000004,1
315000,0.25,1
320000,0.35,1
325000,0.35,1
330000,0.5,1
335000,0.35,1
340000,0.35,1
345000,0.5,1
350000,0.5,1
355000,0.5499999999999999,1
360000,0.55,1
365000,0.4,1
370000,0.55,1
375000,0.15000000000000002,1
380000,0.2,1
385000,0.5,1
390000,0.45000000000000007,1
395000,0.4,1
400000,0.6,1
405000,0.5,1
410000,0.35,1
415000,0.6,1
420000,0.4,1
425000,0.45000000000000007,1
430000,0.5,1
435000,0.6,1
440000,0.5,1
445000,0.45,1
450000,0.55,1
455000,0.45000000000000007,1
460000,0.35,1
465000,0.4,1
470000,0.25,1
475000,0.3,1
480000,0.45000000000000007,1
485000,0.4,1
490000,0.4,1
495000,0.55,1
500000,0.35,1
505000,0.25,1
510000,0.5,1
515000,0.6,1
520000,0.4,1
525000,0.5499999999999999,1
530000,0.4,1
535000,0.5499999999999999,1
540000,0.5,1
545000,0.5,1
550000,0.5,1
555000,0.35,1
560000,0.25,1
565000,0.45,1
570000,0.75,1
575000,0.5,1
580000,0.30000000000000004,1
585000,0.3,1
590000,0.2,1
595000,0.45,1
600000,0.4,1
605000,0.45,1
610000,0.4,1
615000,0.4,1
620000,0.5,1
625000,0.6,1
630000,0.4,1
635000,0.25,1
640000,0.6,1
645000,0.45000000000000007,1
650000,0.15000000000000002,1
655000,0.4,1
660000,0.35,1
665000,0.5,1
670000,0.5,1
675000,0.4,1
680000,0.45000000000000007,1
685000,0.5,1
690000,0.35,1
695000,0.45000000000000007,1
700000,0.45,1
705000,0.45000000000000007,1
710000,0.4,1
715000,0.7,1
720000,0.25,1
725000,0.3500000000000001,1
730000,0.25,1
735000,0.45,1
740000,0.35,1
745000,0.65,1
750000,0.4,1
755000,0.3,1
760000,0.5,1
765000,0.35,1
770000,0.35,1
775000,0.7,1
780000,0.45,1
785000,0.5499999999999999,1
790000,0.5499999999999999,1
795000,0.45000000000000007,1
800000,0.3,1
805000,0.3,1
810000,0.45000000000000007,1
815000,0.45000000000000007,1
820000,0.2,1
825000,0.35,1
830000,0.4,1
835000,0.45000000000000007,1
840000,0.3,1
845000,0.4,1
