alpha,alphafinal,epsilon,epsilonfinal,gamma,lambda,agt#,winrate
0.3,0.1,0.0,0.3,1.0,0.0,0,0.6500000000000004
0.3,0.1,0.0,0.3,1.0,0.0,1,0.6600000000000004
0.3,0.1,0.0,0.3,1.0,0.0,2,0.7800000000000005
0.3,0.1,0.0,0.3,1.0,0.0,3,0.8200000000000005
0.3,0.1,0.0,0.3,1.0,0.0,4,0.7500000000000004
0.3,0.1,0.0,0.3,1.0,0.0,5,0.7500000000000004
0.3,0.1,0.0,0.3,1.0,0.0,6,0.7100000000000004
0.3,0.1,0.0,0.3,1.0,0.0,7,0.6100000000000003
0.3,0.1,0.0,0.3,1.0,0.0,8,0.7400000000000004
0.3,0.1,0.0,0.3,1.0,0.0,9,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.1,0,0.7800000000000005
0.3,0.1,0.0,0.3,1.0,0.1,1,0.8000000000000005
0.3,0.1,0.0,0.3,1.0,0.1,2,0.7800000000000005
0.3,0.1,0.0,0.3,1.0,0.1,3,0.6300000000000003
0.3,0.1,0.0,0.3,1.0,0.1,4,0.7800000000000005
0.3,0.1,0.0,0.3,1.0,0.1,5,0.6700000000000004
0.3,0.1,0.0,0.3,1.0,0.1,6,0.7700000000000005
0.3,0.1,0.0,0.3,1.0,0.1,7,0.7600000000000005
0.3,0.1,0.0,0.3,1.0,0.1,8,0.7800000000000005
0.3,0.1,0.0,0.3,1.0,0.1,9,0.8700000000000006
0.3,0.1,0.0,0.3,1.0,0.2,0,0.6500000000000004
0.3,0.1,0.0,0.3,1.0,0.2,1,0.7500000000000004
0.3,0.1,0.0,0.3,1.0,0.2,2,0.7000000000000004
0.3,0.1,0.0,0.3,1.0,0.2,3,0.7200000000000004
0.3,0.1,0.0,0.3,1.0,0.2,4,0.7400000000000004
0.3,0.1,0.0,0.3,1.0,0.2,5,0.6700000000000004
0.3,0.1,0.0,0.3,1.0,0.2,6,0.7100000000000004
0.3,0.1,0.0,0.3,1.0,0.2,7,0.7900000000000005
0.3,0.1,0.0,0.3,1.0,0.2,8,0.7700000000000005
0.3,0.1,0.0,0.3,1.0,0.2,9,0.7600000000000005
0.3,0.1,0.0,0.3,1.0,0.3,0,0.7100000000000004
0.3,0.1,0.0,0.3,1.0,0.3,1,0.8200000000000005
0.3,0.1,0.0,0.3,1.0,0.3,2,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.3,3,0.7900000000000005
0.3,0.1,0.0,0.3,1.0,0.3,4,0.7500000000000004
0.3,0.1,0.0,0.3,1.0,0.3,5,0.6000000000000003
0.3,0.1,0.0,0.3,1.0,0.3,6,0.7900000000000005
0.3,0.1,0.0,0.3,1.0,0.3,7,0.8500000000000005
0.3,0.1,0.0,0.3,1.0,0.3,8,0.7600000000000005
0.3,0.1,0.0,0.3,1.0,0.3,9,0.7800000000000005
0.3,0.1,0.0,0.3,1.0,0.4,0,0.8200000000000005
0.3,0.1,0.0,0.3,1.0,0.4,1,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.4,2,0.7900000000000005
0.3,0.1,0.0,0.3,1.0,0.4,3,0.7600000000000005
0.3,0.1,0.0,0.3,1.0,0.4,4,0.7500000000000004
0.3,0.1,0.0,0.3,1.0,0.4,5,0.7000000000000004
0.3,0.1,0.0,0.3,1.0,0.4,6,0.8100000000000005
0.3,0.1,0.0,0.3,1.0,0.4,7,0.7100000000000004
0.3,0.1,0.0,0.3,1.0,0.4,8,0.7500000000000004
0.3,0.1,0.0,0.3,1.0,0.4,9,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.5,0,0.7700000000000005
0.3,0.1,0.0,0.3,1.0,0.5,1,0.8100000000000005
0.3,0.1,0.0,0.3,1.0,0.5,2,0.7500000000000004
0.3,0.1,0.0,0.3,1.0,0.5,3,0.7200000000000004
0.3,0.1,0.0,0.3,1.0,0.5,4,0.7200000000000004
0.3,0.1,0.0,0.3,1.0,0.5,5,0.7100000000000004
0.3,0.1,0.0,0.3,1.0,0.5,6,0.7200000000000004
0.3,0.1,0.0,0.3,1.0,0.5,7,0.6700000000000004
0.3,0.1,0.0,0.3,1.0,0.5,8,0.8000000000000005
0.3,0.1,0.0,0.3,1.0,0.5,9,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.6,0,0.6800000000000004
0.3,0.1,0.0,0.3,1.0,0.6,1,0.8100000000000005
0.3,0.1,0.0,0.3,1.0,0.6,2,0.7600000000000005
0.3,0.1,0.0,0.3,1.0,0.6,3,0.6300000000000003
0.3,0.1,0.0,0.3,1.0,0.6,4,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.6,5,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.6,6,0.6700000000000004
0.3,0.1,0.0,0.3,1.0,0.6,7,0.6800000000000004
0.3,0.1,0.0,0.3,1.0,0.6,8,0.7200000000000004
0.3,0.1,0.0,0.3,1.0,0.6,9,0.6900000000000004
0.3,0.1,0.0,0.3,1.0,0.7,0,0.7000000000000004
0.3,0.1,0.0,0.3,1.0,0.7,1,0.6700000000000004
0.3,0.1,0.0,0.3,1.0,0.7,2,0.7400000000000004
0.3,0.1,0.0,0.3,1.0,0.7,3,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.7,4,0.7400000000000004
0.3,0.1,0.0,0.3,1.0,0.7,5,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.7,6,0.6700000000000004
0.3,0.1,0.0,0.3,1.0,0.7,7,0.7100000000000004
0.3,0.1,0.0,0.3,1.0,0.7,8,0.7900000000000005
0.3,0.1,0.0,0.3,1.0,0.7,9,0.6800000000000004
0.3,0.1,0.0,0.3,1.0,0.8,0,0.6900000000000004
0.3,0.1,0.0,0.3,1.0,0.8,1,0.6300000000000003
0.3,0.1,0.0,0.3,1.0,0.8,2,0.6200000000000003
0.3,0.1,0.0,0.3,1.0,0.8,3,0.7300000000000004
0.3,0.1,0.0,0.3,1.0,0.8,4,0.7200000000000004
0.3,0.1,0.0,0.3,1.0,0.8,5,0.6000000000000003
0.3,0.1,0.0,0.3,1.0,0.8,6,0.6600000000000004
0.3,0.1,0.0,0.3,1.0,0.8,7,0.6500000000000004
0.3,0.1,0.0,0.3,1.0,0.8,8,0.7200000000000004
0.3,0.1,0.0,0.3,1.0,0.8,9,0.6800000000000004
0.3,0.1,0.0,0.3,1.0,0.9,0,0.5900000000000003
0.3,0.1,0.0,0.3,1.0,0.9,1,0.5500000000000003
