alpha,alphafinal,epsilon,epsilonfinal,gamma,lambda,agt#,winrate
0.1,0.0,0.0,0.0,1.0,0.0,0,0.08
0.1,0.0,0.0,0.0,1.0,0.0,1,0.22
0.1,0.0,0.0,0.0,1.0,0.0,2,0.0199999999999999
0.1,0.0,0.0,0.0,1.0,0.0,3,0.0699999999999999
0.1,0.0,0.0,0.0,1.0,0.0,4,0.2200000000000001
0.1,0.0,0.0,0.0,1.0,0.0,5,0.0499999999999999
0.1,0.0,0.0,0.0,1.0,0.0,6,0.04
0.1,0.0,0.0,0.0,1.0,0.0,7,0.12
0.1,0.0,0.0,0.0,1.0,0.0,8,0.01
0.1,0.0,0.0,0.0,1.0,0.0,9,0.1600000000000001
0.1,0.1,0.0,0.0,1.0,0.0,0,0.6500000000000004
0.1,0.1,0.0,0.0,1.0,0.0,1,0.7400000000000004
0.1,0.1,0.0,0.0,1.0,0.0,2,0.8000000000000005
0.1,0.1,0.0,0.0,1.0,0.0,3,0.6900000000000004
0.1,0.1,0.0,0.0,1.0,0.0,4,0.7600000000000005
0.1,0.1,0.0,0.0,1.0,0.0,5,0.6000000000000003
0.1,0.1,0.0,0.0,1.0,0.0,6,0.6900000000000004
0.1,0.1,0.0,0.0,1.0,0.0,7,0.6600000000000004
0.1,0.1,0.0,0.0,1.0,0.0,8,0.5800000000000003
0.1,0.1,0.0,0.0,1.0,0.0,9,0.7600000000000005
0.1,0.2,0.0,0.0,1.0,0.0,0,0.7200000000000004
0.1,0.2,0.0,0.0,1.0,0.0,1,0.7200000000000004
0.1,0.2,0.0,0.0,1.0,0.0,2,0.7400000000000004
0.1,0.2,0.0,0.0,1.0,0.0,3,0.7300000000000004
0.1,0.2,0.0,0.0,1.0,0.0,4,0.7400000000000004
0.1,0.2,0.0,0.0,1.0,0.0,5,0.7100000000000004
0.1,0.2,0.0,0.0,1.0,0.0,6,0.7200000000000004
0.1,0.2,0.0,0.0,1.0,0.0,7,0.7600000000000005
0.1,0.2,0.0,0.0,1.0,0.0,8,0.7300000000000004
0.1,0.2,0.0,0.0,1.0,0.0,9,0.7100000000000004
0.1,0.3,0.0,0.0,1.0,0.0,0,0.8000000000000005
0.1,0.3,0.0,0.0,1.0,0.0,1,0.7500000000000004
0.1,0.3,0.0,0.0,1.0,0.0,2,0.7000000000000004
0.1,0.3,0.0,0.0,1.0,0.0,3,0.6800000000000004
0.1,0.3,0.0,0.0,1.0,0.0,4,0.6600000000000004
0.1,0.3,0.0,0.0,1.0,0.0,5,0.5700000000000003
0.1,0.3,0.0,0.0,1.0,0.0,6,0.6800000000000004
0.1,0.3,0.0,0.0,1.0,0.0,7,0.6000000000000003
0.1,0.3,0.0,0.0,1.0,0.0,8,0.8200000000000005
0.1,0.3,0.0,0.0,1.0,0.0,9,0.6100000000000003
0.1,0.4,0.0,0.0,1.0,0.0,0,0.6800000000000004
0.1,0.4,0.0,0.0,1.0,0.0,1,0.7400000000000004
0.1,0.4,0.0,0.0,1.0,0.0,2,0.6100000000000003
0.1,0.4,0.0,0.0,1.0,0.0,3,0.6800000000000004
0.1,0.4,0.0,0.0,1.0,0.0,4,0.6900000000000004
0.1,0.4,0.0,0.0,1.0,0.0,5,0.7200000000000004
0.1,0.4,0.0,0.0,1.0,0.0,6,0.6900000000000004
0.1,0.4,0.0,0.0,1.0,0.0,7,0.5900000000000003
0.1,0.4,0.0,0.0,1.0,0.0,8,0.6400000000000003
0.1,0.4,0.0,0.0,1.0,0.0,9,0.5900000000000003
0.1,0.5,0.0,0.0,1.0,0.0,0,0.7000000000000004
0.1,0.5,0.0,0.0,1.0,0.0,1,0.6500000000000004
0.1,0.5,0.0,0.0,1.0,0.0,2,0.6000000000000003
0.1,0.5,0.0,0.0,1.0,0.0,3,0.7000000000000004
0.1,0.5,0.0,0.0,1.0,0.0,4,0.6900000000000004
0.1,0.5,0.0,0.0,1.0,0.0,5,0.6200000000000003
0.1,0.5,0.0,0.0,1.0,0.0,6,0.7200000000000004
0.1,0.5,0.0,0.0,1.0,0.0,7,0.5400000000000003
0.1,0.5,0.0,0.0,1.0,0.0,8,0.6900000000000004
0.1,0.5,0.0,0.0,1.0,0.0,9,0.5600000000000003
0.1,0.6,0.0,0.0,1.0,0.0,0,0.6700000000000004
0.1,0.6,0.0,0.0,1.0,0.0,1,0.6800000000000004
0.1,0.6,0.0,0.0,1.0,0.0,2,0.7300000000000004
0.1,0.6,0.0,0.0,1.0,0.0,3,0.6700000000000004
0.1,0.6,0.0,0.0,1.0,0.0,4,0.7000000000000004
