alpha,alphafinal,epsilon,epsilonfinal,gamma,lambda,agt#,winrate
0.3,0.1,0.0,0.0,1.0,0.0,0,0.6600000000000004
0.3,0.1,0.0,0.0,1.0,0.0,1,0.6600000000000004
0.3,0.1,0.0,0.0,1.0,0.0,2,0.6600000000000004
0.3,0.1,0.0,0.0,1.0,0.0,3,0.7900000000000005
0.3,0.1,0.0,0.0,1.0,0.0,4,0.7200000000000004
0.3,0.1,0.0,0.0,1.0,0.0,5,0.6900000000000004
0.3,0.1,0.0,0.0,1.0,0.0,6,0.7600000000000005
0.3,0.1,0.0,0.0,1.0,0.0,7,0.7000000000000004
0.3,0.1,0.0,0.0,1.0,0.0,8,0.7200000000000004
0.3,0.1,0.0,0.0,1.0,0.0,9,0.6800000000000004
0.3,0.1,0.0,0.1,1.0,0.0,0,0.6600000000000004
0.3,0.1,0.0,0.1,1.0,0.0,1,0.7300000000000004
0.3,0.1,0.0,0.1,1.0,0.0,2,0.7700000000000005
0.3,0.1,0.0,0.1,1.0,0.0,3,0.7100000000000004
0.3,0.1,0.0,0.1,1.0,0.0,4,0.7300000000000004
0.3,0.1,0.0,0.1,1.0,0.0,5,0.7000000000000004
0.3,0.1,0.0,0.1,1.0,0.0,6,0.7600000000000005
0.3,0.1,0.0,0.1,1.0,0.0,7,0.7400000000000004
0.3,0.1,0.0,0.1,1.0,0.0,8,0.7500000000000004
0.3,0.1,0.0,0.1,1.0,0.0,9,0.7100000000000004
0.3,0.1,0.0,0.2,1.0,0.0,0,0.7100000000000004
0.3,0.1,0.0,0.2,1.0,0.0,1,0.8100000000000005
0.3,0.1,0.0,0.2,1.0,0.0,2,0.7600000000000005
0.3,0.1,0.0,0.2,1.0,0.0,3,0.7400000000000004
0.3,0.1,0.0,0.2,1.0,0.0,4,0.7000000000000004
0.3,0.1,0.0,0.2,1.0,0.0,5,0.7000000000000004
0.3,0.1,0.0,0.2,1.0,0.0,6,0.7100000000000004
0.3,0.1,0.0,0.2,1.0,0.0,7,0.7300000000000004
